iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,289,19809,19811,[289]
2,292,15699,15701,[292]
3,89,30415,30417,[89]
4,57,40784,40786,[57]
5,282,16618,16623,[282]
6,39,23348,23352,[39]
7,342,68024,68027,[342]
8,389,26022,26026,[389]
9,21,19804,19806,[21]
10,57,16505,16509,[57]
11,406,15015,15018,[406]
12,178,17359,17361,[178]
13,302,10907,10909,[302]
14,426,15278,15280,[426]
15,281,14089,14092,[281]
16,87,15405,15407,[87]
17,96,12790,12792,[96]
18,391,12391,12396,[391]
19,270,19737,19738,[270]
20,62,24297,24299,[62]
