iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
91,212,95651,95654,"[18, 30, 42, 103, 124, 168, 190, 212, 242, 269, 382, 442, 468]"
92,307,218193,218195,"[23, 35, 178, 307, 432, 441]"
93,261,191486,191488,"[4, 27, 38, 190, 199, 261, 285, 311, 335, 374, 426]"
94,55,227395,227398,"[20, 31, 55, 115, 182, 193, 217, 233, 270, 290, 291, 449, 450]"
95,402,140356,140362,"[136, 189, 229, 279, 300, 402, 441, 463, 474]"
96,31,239658,239661,"[17, 20, 31, 48, 64, 76, 91, 169, 185, 217, 250, 254, 365, 390, 412, 414, 450, 453, 472, 494]"
97,397,253892,253898,"[27, 44, 73, 81, 93, 97, 104, 122, 138, 166, 201, 203, 230, 239, 242, 258, 280, 289, 298, 312, 322, 335, 341, 348, 363, 391, 397, 402, 421, 454, 487, 488]"
98,109,118630,118632,"[32, 109, 141, 385, 444, 456]"
99,262,189522,189527,"[142, 262, 278, 295, 408, 500]"
100,1,178059,178061,"[202, 204, 286, 317, 376, 380]"
101,254,233380,233387,"[25, 31, 55, 91, 92, 96, 120, 130, 142, 200, 233, 243, 254, 274, 276, 299, 313, 346, 353, 412, 427, 453, 459, 470, 500]"
102,23,98597,98603,"[23, 63, 160, 165, 204, 272, 273, 291, 294, 318, 378, 384, 392, 427, 442, 446, 476, 477]"
103,41,247464,247471,"[19, 41, 54, 90, 108, 148, 156, 161, 233, 272, 278, 288, 307, 317, 379, 390, 407, 419, 470, 498]"
104,332,111683,111691,"[69, 141, 153, 253, 323, 332, 333, 361, 432, 448]"
105,199,157497,157503,"[34, 122, 190, 199, 261, 311, 320, 338, 454, 483]"
106,490,207243,207245,"[74, 91, 121, 313, 449, 459, 475, 490]"
107,181,142886,142888,"[10, 119, 181, 240, 244, 337, 345, 442, 455, 460]"
108,172,105456,105458,"[104, 133, 172, 197, 361, 431, 458, 486]"
