iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
36,200,187700,187703,"[125, 205, 220, 287, 389]"
37,483,126964,126969,"[38, 45, 97, 132, 138, 190, 209, 237, 295, 298, 335, 339, 369, 483]"
38,370,178696,178703,"[22, 47, 51, 59, 85, 136, 139, 145, 170, 175, 204, 246, 268, 272, 273, 300, 310, 315, 323, 361, 370, 378, 384, 392, 396, 409, 411, 474, 477, 484]"
39,170,170345,170349,"[85, 116, 139, 141, 157, 170, 210, 245, 267, 323, 352, 370, 385, 413, 458, 490]"
40,473,131516,131518,"[10, 19, 46, 176, 220, 296, 306, 339, 422, 444, 469, 473]"
41,165,146097,146099,"[36, 40, 49, 50, 75, 94, 97, 132, 139, 140, 141, 209, 246, 259, 267, 282, 308, 318, 319, 396, 401, 413, 419, 435, 477, 487]"
42,228,140598,140600,"[15, 28, 33, 53, 66, 100, 138, 176, 228, 237, 259, 266, 271, 348, 354, 374, 421, 436]"
43,306,128116,128117,"[20, 26, 78, 95, 125, 146, 176, 227, 296, 299, 306, 395, 451]"
44,275,92986,92989,"[142, 210, 227, 275, 352]"
45,66,80021,80026,"[12, 53, 68, 150, 164, 183, 187, 194, 340, 361, 385, 436, 448, 479, 482, 497]"
46,353,109439,109447,"[11, 46, 94, 142, 378]"
47,397,182696,182703,"[28, 34, 104, 122, 133, 134, 172, 225, 279, 280, 311, 341, 359, 402, 423, 458]"
48,254,101982,101991,"[158, 173, 200, 243, 278, 307, 379, 383, 405, 412, 498, 500]"
49,207,167737,167739,"[19, 30, 37, 39, 55, 68, 120, 130, 146, 207, 244, 265, 304, 333, 351, 365, 368, 378, 383, 392, 393, 398, 413, 417, 435, 444, 445, 478]"
50,334,204925,204929,"[48, 62, 63, 84, 101, 151, 156, 191, 258, 269, 302, 322, 330, 334, 344, 365, 380, 390, 410, 447]"
51,442,173492,173506,"[15, 44, 64, 66, 71, 88, 138, 143, 166, 190, 192, 198, 209, 212, 234, 261, 263, 271, 332, 335, 338, 345, 362, 411, 442, 455, 460, 468, 483, 488]"
52,42,235546,235553,"[6, 7, 16, 42, 55, 60, 106, 130, 186, 240, 244, 269, 273, 277, 307, 330, 373, 400, 416]"
