iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,35,22847,22849,[35]
2,232,43922,43924,[232]
3,97,14378,14379,[97]
4,272,11424,11425,[272]
5,446,28435,28437,[446]
6,412,18067,18070,[412]
7,101,14612,14615,[101]
8,48,28845,28849,[48]
9,431,10992,10994,[431]
10,151,36537,36540,[151]
11,142,14378,14382,[142]
12,160,31069,31072,[160]
13,391,31287,31289,[391]
14,164,19630,19632,[164]
15,499,31478,31480,[499]
16,417,22450,22452,[417]
17,191,14945,14946,[191]
18,132,12827,12829,[132]
19,55,20827,20830,[55]
20,459,20574,20577,[459]
