iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,310,135044,135048,"[15, 29, 51, 52, 85, 212, 225, 249, 259, 273, 309, 310, 323, 331, 376, 382, 411, 431, 452, 458, 464, 480]"
2,343,153862,153865,"[6, 31, 56, 60, 63, 64, 163, 170, 210, 224, 246, 262, 265, 343, 345, 365, 373, 374]"
3,303,182170,182181,"[9, 465]"
4,198,149987,149990,"[7, 111, 181, 190, 198, 234, 240, 244, 260, 298, 300, 304, 374, 376, 455]"
5,382,136822,136825,"[51, 73, 111, 118, 140, 253, 310, 332, 375, 382, 411, 426, 431]"
6,171,97595,97597,"[36, 64, 66, 73, 74, 80, 107, 116, 135, 140, 166, 171, 285, 297, 348, 362, 399, 464]"
7,83,141257,141263,"[52, 83, 114, 237, 293, 309, 378, 419, 429, 472]"
8,29,119238,119243,"[48, 63, 77, 115, 123, 142, 151, 155, 178, 182, 222, 288, 290, 293, 294, 322, 327, 340, 347, 368, 371, 385, 398, 456, 500]"
9,440,204354,204358,"[125, 186, 214, 244, 301, 314, 321, 345, 386, 387, 392, 440, 443, 469, 494]"
10,105,139159,139162,"[13, 82, 105, 146, 235, 247, 339, 428, 439, 451, 453, 474]"
11,458,267972,267977,"[12, 57, 75, 87, 93, 119, 134, 135, 141, 145, 148, 188, 190, 204, 212, 215, 225, 259, 271, 275, 280, 295, 308, 310, 319, 323, 331, 352, 359, 370, 411, 413, 419, 458, 460, 476, 483]"
12,484,146780,146784,"[4, 17, 22, 29, 59, 63, 142, 145, 180, 224, 245, 253, 262, 268, 273, 303, 322, 334, 343, 370, 403, 410, 446, 484, 496]"
13,262,130239,130245,"[11, 19, 41, 64, 78, 114, 115, 142, 208, 210, 215, 217, 224, 231, 254, 262, 318, 343, 358, 470, 500]"
