iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,442,12644,12647,[442]
2,281,30511,30514,[281]
3,27,27423,27427,[27]
4,480,29337,29338,[480]
5,131,11461,11461,[131]
6,406,10292,10294,[406]
7,13,35380,35381,[13]
8,465,31645,31647,[465]
9,135,13292,13297,[135]
10,418,16561,16566,[418]
11,299,14135,14139,[299]
12,21,18282,18284,[21]
13,44,42458,42460,[44]
14,280,34827,34830,[280]
15,442,12479,12483,[442]
16,27,15102,15104,[27]
17,139,27659,27661,[139]
18,141,40444,40446,[141]
19,157,29578,29582,[157]
20,246,25428,25436,[246]
